user_id,distinct_umid_cnt_14d,distinct_login_cnt_14d,distinct_ipisp_cnt_14d
400031132184,2,9,2
400088766177,2,4,1
400113150853,2,21,2
400225365354,2,23,1
400129047235,2,16,1
400294668715,2,99,2
400264419093,2,3,1
400012650185,2,33,1
410407644806,2,17,2
410409729435,2,10,2
400105821217,2,16,2
400296072278,2,6,3
400187754190,2,4,1
400140105040,2,16,1
400099719615,2,22,1
400177149388,2,12,2
400176867028,2,28,1
400126242784,2,12,3
400122468744,2,10,1
379332,2,17,3
400370175143,2,8,2
2024869,2,15,3
400282080056,2,14,2
400151559245,2,7,2
400090677466,2,19,2
400233900101,2,10,2
410401905782,2,7,1
400277478045,2,23,2
400304028489,2,6,1
400212591419,2,14,1
400218519461,2,18,1
400148838730,2,17,1
400353669647,2,2,1
400080543698,2,10,1
400398168316,2,9,1
400232199853,2,14,2
400393023399,2,20,1
400016182509,2,13,2
400210203583,2,25,2
400217235147,2,18,2
